# ブランドごとの公式な掲載順。**列 1 は並び順の鍵で、ブランド内での前後だけを決める。**
#   1: 並び順の鍵 / 2: 表示名 (空白除去) / 3: 出典側のブランド区分 / 4: 出典
#
# 出典 (取得日 2026-09-08):
#   meikan  … 公式アイドル名鑑 idollist.idolmaster-official.jp/search
#             鍵はそこの公式 id そのまま。765AS 以外はこちら。
#   starlit … アイドルマスター スターリットシーズン starlit-season.idolmaster.jp/idol/
#             765AS だけこちら (鍵 11001-)。名鑑の 765AS は五十音順で、
#             春香・千早・美希 から始まる 765AS の並びになっていないため。
#             ブランド全員 (13 人) が載っている一覧なのでそのまま使える。
#
# **ブランド専用の公式一覧がそのブランド全員を載せているときだけ、名鑑より優先する。**
# 一部しか載っていない一覧 (スターリットシーズンのデレマス枠など) は使わない。
#
# 取り直し手順は tools/apply_official_idol_order.py の docstring。
20158	水野翠	deremas	meikan
20159	水本ゆかり	deremas	meikan
20160	三船美優	deremas	meikan
20161	三村かな子	deremas	meikan
20162	宮本フレデリカ	deremas	meikan
20163	三好紗南	deremas	meikan
20164	向井拓海	deremas	meikan
20165	棟方愛海	deremas	meikan
20166	村上巴	deremas	meikan
20167	村松さくら	deremas	meikan
20168	メアリー・コクラン	deremas	meikan
20169	持田亜里沙	deremas	meikan
20170	望月聖	deremas	meikan
20171	桃井あずき	deremas	meikan
20172	森久保乃々	deremas	meikan
20173	諸星きらり	deremas	meikan
20174	楊菲菲	deremas	meikan
20175	八神マキノ	deremas	meikan
20176	矢口美羽	deremas	meikan
20177	柳清良	deremas	meikan
20178	柳瀬美由紀	deremas	meikan
20179	大和亜季	deremas	meikan
20180	結城晴	deremas	meikan
20181	遊佐こずえ	deremas	meikan
20182	夢見りあむ	deremas	meikan
20183	横山千佳	deremas	meikan
20184	吉岡沙紀	deremas	meikan
20185	依田芳乃	deremas	meikan
20186	ライラ	deremas	meikan
20187	龍崎薫	deremas	meikan
20188	若林智香	deremas	meikan
20189	脇山珠美	deremas	meikan
20190	和久井留美	deremas	meikan
30001	伊吹翼	milimas	meikan
30002	エミリースチュアート	milimas	meikan
30003	大神環	milimas	meikan
30004	春日未来	milimas	meikan
30005	北上麗花	milimas	meikan
30006	北沢志保	milimas	meikan
30007	木下ひなた	milimas	meikan
30008	高坂海美	milimas	meikan
30009	桜守歌織	milimas	meikan
30010	佐竹美奈子	milimas	meikan
30011	篠宮可憐	milimas	meikan
30012	島原エレナ	milimas	meikan
30013	ジュリア	milimas	meikan
30014	白石紬	milimas	meikan
30015	周防桃子	milimas	meikan
30016	高山紗代子	milimas	meikan
30017	田中琴葉	milimas	meikan
30018	天空橋朋花	milimas	meikan
30019	徳川まつり	milimas	meikan
30020	所恵美	milimas	meikan
30021	豊川風花	milimas	meikan
30022	中谷育	milimas	meikan
30023	永吉昴	milimas	meikan
30024	七尾百合子	milimas	meikan
30025	二階堂千鶴	milimas	meikan
30026	野々原茜	milimas	meikan
30027	箱崎星梨花	milimas	meikan
30028	馬場このみ	milimas	meikan
30029	福田のり子	milimas	meikan
30030	舞浜歩	milimas	meikan
30031	真壁瑞希	milimas	meikan
30032	松田亜利沙	milimas	meikan
30033	宮尾美也	milimas	meikan
30034	最上静香	milimas	meikan
30035	望月杏奈	milimas	meikan
30036	百瀬莉緒	milimas	meikan
30037	矢吹可奈	milimas	meikan
30038	横山奈緒	milimas	meikan
30039	ロコ	milimas	meikan
40001	蒼井享介	sidem	meikan
40002	蒼井悠介	sidem	meikan
40003	紅井朱雀	sidem	meikan
40004	秋月涼	sidem	meikan
40005	秋山隼人	sidem	meikan
40006	握野英雄	sidem	meikan
40007	アスラン＝ベルゼビュートⅡ世	sidem	meikan
40008	天ヶ瀬冬馬	sidem	meikan
40009	伊集院北斗	sidem	meikan
40010	伊瀬谷四季	sidem	meikan
40011	卯月巻緒	sidem	meikan
40012	円城寺道流	sidem	meikan
40013	岡村直央	sidem	meikan
40014	神楽麗	sidem	meikan
40015	柏木翼	sidem	meikan
40016	兜大吾	sidem	meikan
40017	神谷幸広	sidem	meikan
40018	牙崎漣	sidem	meikan
40019	北村想楽	sidem	meikan
40020	木村龍	sidem	meikan
40021	清澄九郎	sidem	meikan
40022	葛之葉雨彦	sidem	meikan
40023	黒野玄武	sidem	meikan
40024	古論クリス	sidem	meikan
40025	榊夏来	sidem	meikan
40026	桜庭薫	sidem	meikan
40027	東雲荘一郎	sidem	meikan
40028	信玄誠司	sidem	meikan
40029	大河タケル	sidem	meikan
40030	鷹城恭二	sidem	meikan
40031	橘志狼	sidem	meikan
40032	九十九一希	sidem	meikan
40033	都築圭	sidem	meikan
40034	天道輝	sidem	meikan
40035	猫柳キリオ	sidem	meikan
40036	硲道夫	sidem	meikan
40037	華村翔真	sidem	meikan
40038	ピエール	sidem	meikan
40039	姫野かのん	sidem	meikan
40040	冬美旬	sidem	meikan
40041	舞田類	sidem	meikan
40042	水嶋咲	sidem	meikan
40043	御手洗翔太	sidem	meikan
40044	山下次郎	sidem	meikan
40045	若里春名	sidem	meikan
40046	渡辺みのり	sidem	meikan
50001	浅倉透	shiny	meikan
50002	有栖川夏葉	shiny	meikan
50003	和泉愛依	shiny	meikan
50004	市川雛菜	shiny	meikan
50005	大崎甘奈	shiny	meikan
50006	大崎甜花	shiny	meikan
50007	風野灯織	shiny	meikan
50008	桑山千雪	shiny	meikan
50009	小宮果穂	shiny	meikan
50010	西城樹里	shiny	meikan
50011	櫻木真乃	shiny	meikan
50012	白瀬咲耶	shiny	meikan
50013	芹沢あさひ	shiny	meikan
50014	園田智代子	shiny	meikan
50015	田中摩美々	shiny	meikan
50016	月岡恋鐘	shiny	meikan
50017	八宮めぐる	shiny	meikan
50018	樋口円香	shiny	meikan
50019	福丸小糸	shiny	meikan
50020	黛冬優子	shiny	meikan
50021	三峰結華	shiny	meikan
50022	杜野凛世	shiny	meikan
50023	幽谷霧子	shiny	meikan
50024	七草にちか	shiny	meikan
50025	緋田美琴	shiny	meikan
50026	斑鳩ルカ	shiny	meikan
50027	鈴木羽那	shiny	meikan
50028	郁田はるき	shiny	meikan
60001	花海咲季	gakuen	meikan
60002	月村手毬	gakuen	meikan
60003	藤田ことね	gakuen	meikan
60004	有村麻央	gakuen	meikan
60005	葛城リーリヤ	gakuen	meikan
60006	倉本千奈	gakuen	meikan
60007	紫雲清夏	gakuen	meikan
60008	篠澤広	gakuen	meikan
60009	姫崎莉波	gakuen	meikan
60010	花海佑芽	gakuen	meikan
60011	十王星南	gakuen	meikan
60012	秦谷美鈴	gakuen	meikan
60013	雨夜燕	gakuen	meikan
210001	日高愛	other	meikan
210002	水谷絵理	other	meikan
210003	灯里愛夏	other	meikan
210004	上水流宇宙	other	meikan
210005	レトラ	other	meikan
220001	玲音	other	meikan
230001	詩花	other	meikan
240001	奥空心白	other	meikan
240002	亜夜	other	meikan
250001	天峰秀	sidem	meikan
250002	花園百々人	sidem	meikan
250003	眉見鋭心	sidem	meikan
