song_id	title	work_title	subtitle	lyricist_raw	lyricist_norm	composer_raw	composer_norm	artist	song_type	brand_id	parent_song_id	is_version	interface_key	jasrac_code	jasrac_title	match_status	note
sc_バベルシティグレイス	バベルシティ・グレイス	バベルシティ・グレイス		真崎エリカ	真崎エリカ	南田健吾(onetrap)	南田健吾(onetrap)	アンティーカ(月岡恋鐘、田中摩美々、白瀬咲耶、三峰結華、幽谷霧子)	unit	sc			imasdb-fa23cbcb950d			unmatched	
sc_パステルカラー_パスカラカラー	パステルカラー パスカラカラー	パステルカラー パスカラカラー		鈴木静那	鈴木静那	YUU for YOU、Giz'Mo(from Jam9)	YUU for YOU;Giz'Mo(from Jam9)	アルストロメリア(大崎甘奈、大崎甜花、桑山千雪)	unit	sc			imasdb-fe31810d7780			unmatched	
sc_パーティーマジックデザイナー	パーティーマジックデザイナー	パーティーマジックデザイナー		古屋真	古屋真	牧野太洋	牧野太洋	放課後クライマックスガールズ(小宮果穂、園田智代子、西城樹里、杜野凛世、有栖川夏葉)	unit	sc			imasdb-719af14d6bf3			unmatched	
sc_ヒカリのdestination	ヒカリのdestination	ヒカリのdestination		中村彼方	中村彼方	中野領太(onetrap)	中野領太(onetrap)	イルミネーションスターズ(櫻木真乃、風野灯織、八宮めぐる)	unit	sc			imasdb-5db152f700fa			unmatched	
sc_ビーチブレイバー	ビーチブレイバー	ビーチブレイバー		古屋真	古屋真	GAKU	GAKU	放課後クライマックスガールズ(小宮果穂、園田智代子、西城樹里、杜野凛世、有栖川夏葉)	unit	sc			imasdb-a6255a38f07b			unmatched	
sc_フェアリーガール	フェアリー・ガール	フェアリー・ガール		深川琴美	深川琴美	佐藤樹	佐藤樹	七草にちか	solo	sc			imasdb-e73dd4057f88			unmatched	
sc_ブレイクアウトセレンディピティ	ブレイク・アウト・セレンディピティ	ブレイク・アウト・セレンディピティ		真崎エリカ	真崎エリカ	ペロ、YUU for YOU	ペロ;YUU for YOU	アンティーカ(月岡恋鐘、田中摩美々、白瀬咲耶、三峰結華、幽谷霧子)	unit	sc			imasdb-9c7bb9f8ff05			unmatched	
sc_プラスチックアンブレラ	プラスチック・アンブレラ	プラスチック・アンブレラ		児玉雨子	児玉雨子	矢吹香那	矢吹香那	三峰結華	solo	sc			imasdb-88256700255d			unmatched	
sc_プラニスフィア_planisphere	プラニスフィア 〜planisphere〜	プラニスフィア 〜planisphere〜		松井洋平	松井洋平	ArmySlick、Giz'Mo (from Jam9)	ArmySlick;Giz'Mo (from Jam9)	Team.Stella(櫻木真乃、月岡恋鐘、小宮果穂、園田智代子、大崎甘奈、芹沢あさひ、樋口円香)	unit	sc			imasdb-e95b1163efbd			unmatched	
sc_プリズムフレア	プリズムフレア	プリズムフレア		こだまさおり	こだまさおり	ヒゲドライバー	ヒゲドライバー	シャイニーカラーズ(櫻木真乃、風野灯織、八宮めぐる、月岡恋鐘、田中摩美々、白瀬咲耶、三峰結華、幽谷霧子、小宮果穂、園田智代子、西城樹里、杜野凛世、有栖川夏葉、大崎甘奈、大崎甜花、桑山千雪、芹沢あさひ、黛冬優子、和泉愛依)	all	sc			imasdb-d899ed52af4f			unmatched	
sc_ホムラインビテーション	ホムラインビテーション	ホムラインビテーション		涼木シンジ(KEYTONE)	涼木シンジ(KEYTONE)	涼木シンジ(KEYTONE)	涼木シンジ(KEYTONE)	HOMURAーGIRLS(芹沢あさひ、黛冬優子、和泉愛依、七草にちか、緋田美琴)	unit	sc			imasdb-ace300004b8a			unmatched	
sc_ボーダーレスノンストレス	ボーダーレス・ノンストレス	ボーダーレス・ノンストレス		小池竜暉	小池竜暉	小池竜暉、菊池博人(KEYTONE)	小池竜暉;菊池博人(KEYTONE)	Sonic Heart (and Signal)(八宮めぐる、小宮果穂、月岡恋鐘、市川雛菜)	unit	sc			imasdb-44181894c1ba			unmatched	
sc_ボーダーレスノンストレス_game_size	ボーダーレス・ノンストレス (Game Size)	ボーダーレス・ノンストレス	Game Size	小池竜暉	小池竜暉	小池竜暉、菊池博人(KEYTONE)	小池竜暉;菊池博人(KEYTONE)	八宮めぐる、小宮果穂、市川雛菜、月岡恋鐘	unit	sc	sc_ボーダーレスノンストレス	1	imasdb-871efd0637a7			unmatched	
sc_メッセージ	メッセージ	メッセージ		鈴木静那	鈴木静那	amazuti	amazuti	アルストロメリア(大崎甘奈、大崎甜花、桑山千雪)	unit	sc			imasdb-ebd6f31326b3			unmatched	
sc_メモワールアンタクト	メモワール・アンタクト	メモワール・アンタクト		真崎エリカ	真崎エリカ	田中透真(Dream Monster)	田中透真(Dream Monster)	幽谷霧子	solo	sc			imasdb-8de9253a46b2			unmatched	
sc_ラビリンスレジスタンス	ラビリンス・レジスタンス	ラビリンス・レジスタンス		真崎エリカ	真崎エリカ	家原正樹、Lauren Kaori	家原正樹;Lauren Kaori	アンティーカ(月岡恋鐘、田中摩美々、白瀬咲耶、三峰結華、幽谷霧子)	unit	sc			imasdb-608d4bb2b85c			unmatched	
