song_id	title	artist	setlist_count	lyrics_url	candidate_url	candidate_title	confidence	note
ml_flyers	Flyers!!!	765 MILLION ALLSTARS 天海春香、春日未来、如月千早、木下ひなた、四条貴音、ジュリア、高山紗代子、田中琴葉、天空橋朋花、箱崎星梨花、松田亜利沙、三浦あずさ、水瀬伊織、最上静香、望月杏奈、矢吹可奈、エミリー スチュアート、大神環、我那覇響、菊地真、北上麗花、高坂海美、佐竹美奈子、島原エレナ、高槻やよい、永吉昴、野々原茜、馬場このみ、福田のり子、舞浜歩、真壁瑞希、百瀬莉緒、横山奈緒、秋月律子、伊吹翼、北沢志保、篠宮可憐、周防桃子、徳川まつり、所恵美、豊川風花、中谷育、七尾百合子、二階堂千鶴、萩原雪歩、ロコ、双海亜美、双海真美、星井美希、宮尾美也、白石紬、桜守歌織	27		https://www.uta-net.com/song/271307/	765 MILLION ALLSTARS Flyers!!! 歌詞 - 歌ネット	high	曲名一致 + 関連名詞 1件
sc_ambitious_eve	Ambitious Eve	シャイニーカラーズ（櫻木真乃、風野灯織、八宮めぐる、月岡恋鐘、田中摩美々、白瀬咲耶、三峰結華、幽谷霧子、小宮果穂、園田智代子、西城樹里、杜野凛世、有栖川夏葉、大崎甘奈、大崎甜花、桑山千雪）	27		https://www.uta-net.com/song/266132/	シャイニーカラーズ Ambitious Eve 歌詞 - 歌ネット	high	曲名一致 + 関連名詞 1件
765as_空	空	音無小鳥	26		https://www.uta-net.com/song/275778/	音無小鳥(滝田樹里) 空 歌詞 - 歌ネット	high	曲名一致 + 関連名詞 2件
cg_beyond_the_starlight	BEYOND THE STARLIGHT	城ヶ崎莉嘉、緒方智絵里、北条加蓮、川島瑞樹、大槻唯	26		https://www.uta-net.com/song/223207/	城ヶ崎莉嘉(山本希望)、緒方智絵里(大空直美)、北条加蓮(渕上舞)、川島瑞樹(東山奈央)、大槻唯(山下七海) BEYOND THE STARLIGHT 歌詞 - 歌ネット	high	曲名一致 + 関連名詞 10件
sc_dye_the_sky	Dye the sky.	シャイニーカラーズ（櫻木真乃、風野灯織、八宮めぐる、月岡恋鐘、田中摩美々、白瀬咲耶、三峰結華、幽谷霧子、小宮果穂、園田智代子、西城樹里、杜野凛世、有栖川夏葉、大崎甘奈、大崎甜花、桑山千雪、芹沢あさひ、黛冬優子、和泉愛依、浅倉透、樋口円香、福丸小糸、市川雛菜）	26		https://www.uta-net.com/song/284111/	シャイニーカラーズ Dye the sky. 歌詞 - 歌ネット	high	曲名一致 + 関連名詞 1件
sidem_moon_nightのせいにして	MOON NIGHTのせいにして	DRAMATIC STARS（天道輝、桜庭薫、柏木翼）	26		https://www.uta-net.com/song/211076/	DRAMATIC STARS MOON NIGHTのせいにして 歌詞 - 歌ネット	high	曲名一致 + 関連名詞 1件
765as_alright	ALRIGHT*	萩原雪歩	25		https://www.uta-net.com/song/260167/	萩原雪歩(浅倉杏美) ALRIGHT* 歌詞 - 歌ネット	high	曲名一致 + 関連名詞 2件
765as_眠り姫	眠り姫	如月千早	25					
cg_tokimekiエスカレート	TOKIMEKIエスカレート	城ヶ崎美嘉	25					
gakuen_fighting_my_way	Fighting My Way	花海咲季	25					
gakuen_キミとセミブルー	キミとセミブルー	姫崎莉波、有村麻央、紫雲清夏	25					
sc_hide_attack	Hide & Attack	ストレイライト（芹沢あさひ、黛冬優子、和泉愛依）	25					
765as_start	START!!	天海春香	24					
cg_あんずのうた	あんずのうた	双葉杏	24					
sc_fly_and_fly	Fly and Fly	シーズ（七草にちか、緋田美琴）	24					
sc_multicolored_sky	Multicolored Sky	シャイニーカラーズ（櫻木真乃、風野灯織、八宮めぐる、月岡恋鐘、田中摩美々、白瀬咲耶、三峰結華、幽谷霧子、小宮果穂、園田智代子、西城樹里、杜野凛世、有栖川夏葉、大崎甘奈、大崎甜花、桑山千雪）	24					
765as_マリオネットの心	マリオネットの心	星井美希	23					
765as_蒼い鳥	蒼い鳥	如月千早	23					
sc_シャイノグラフィ	シャイノグラフィ	シャイニーカラーズ（櫻木真乃、風野灯織、八宮めぐる、月岡恋鐘、田中摩美々、白瀬咲耶、三峰結華、幽谷霧子、小宮果穂、園田智代子、西城樹里、杜野凛世、有栖川夏葉、大崎甘奈、大崎甜花、桑山千雪、芹沢あさひ、黛冬優子、和泉愛依、浅倉透、樋口円香、福丸小糸、市川雛菜）	23					
sc_太陽キッス	太陽キッス	放課後クライマックスガールズ（小宮果穂、園田智代子、西城樹里、杜野凛世、有栖川夏葉）	23					
765as_my_song	my song	水瀬伊織、菊地真、三浦あずさ	22					
cg_twilight_sky	Twilight Sky	多田李衣菜	22					
cg_ミツボシ	ミツボシ☆☆★	本田未央	22					
sidem_legacy_of_spirit	Legacy of Spirit	Legenders（葛之葉雨彦、北村想楽、古論クリス）	22					
sidem_starlight_celebrate	STARLIGHT CELEBRATE!	DRAMATIC STARS（天道輝、桜庭薫、柏木翼）	22					
765as_change	CHANGE!!!!	765PRO ALLSTARS	21					
876_リローディング	リローディング	灯里愛夏、上水流宇宙、レトラ	21					
876_群青イニシエーション	群青イニシエーション	レトラ	21					
cg_アタシポンコツアンドロイド	アタシポンコツアンドロイド	双葉杏、前川みく、島村卯月、小日向美穂、安部菜々	21					
cg_純情midnight伝説	純情Midnight伝説	炎陣（向井拓海、藤本里奈、松永涼、大和亜季、木村夏樹）	21					
gakuen_luna_say_maybe	Luna say maybe	月村手毬	21					
ml_union	UNION!!	765 MILLION ALLSTARS 天海春香、春日未来、如月千早、木下ひなた、四条貴音、ジュリア、高山紗代子、田中琴葉、天空橋朋花、箱崎星梨花、松田亜利沙、三浦あずさ、水瀬伊織、最上静香、望月杏奈、矢吹可奈、エミリー スチュアート、大神環、我那覇響、菊地真、北上麗花、高坂海美、佐竹美奈子、島原エレナ、高槻やよい、永吉昴、野々原茜、馬場このみ、福田のり子、舞浜歩、真壁瑞希、百瀬莉緒、横山奈緒、秋月律子、伊吹翼、北沢志保、篠宮可憐、周防桃子、徳川まつり、所恵美、豊川風花、中谷育、七尾百合子、二階堂千鶴、萩原雪歩、ロコ、双海亜美、双海真美、星井美希、宮尾美也、白石紬、桜守歌織	21					
ml_ハッピーラッキージェットマシーン	ハッピー☆ラッキー☆ジェットマシーン	横山奈緒	21					
sc_アルストロメリア	アルストロメリア	アルストロメリア（大崎甘奈、大崎甜花、桑山千雪）	21					
sidem_勇敢なるキミへ	勇敢なるキミへ	FRAME（握野英雄、木村龍、信玄誠司）	21					
765as_i_want	I Want	天海春香	20					
765as_next_life	Next Life	我那覇響	20					
765as_tear	tear	菊地真	20					
765as_ゲンキトリッパー	ゲンキトリッパー	高槻やよい	20					
765as_太陽のジェラシー	太陽のジェラシー	天海春香	20					
765as_目が逢う瞬間	目が逢う瞬間	如月千早	20					
cg_evermore	EVERMORE	城ヶ崎美嘉、神崎蘭子、前川みく、二宮飛鳥、一ノ瀬志希	20					
cg_ガールズインザフロンティア	ガールズ・イン・ザ・フロンティア	渋谷凛、早坂美玲、木村夏樹、小日向美穂、塩見周子	20					
sc_fashionable	Fashionable	シーズ（七草にちか、緋田美琴）	20					
sc_あの花のように	あの花のように	ノクチル（浅倉透、樋口円香、福丸小糸、市川雛菜）	20					
sc_ハナムケのハナタバ	ハナムケのハナタバ	コメティック（斑鳩ルカ、鈴木羽那、郁田はるき）	20					
sc_ビーチブレイバー	ビーチブレイバー	放課後クライマックスガールズ（小宮果穂、園田智代子、西城樹里、杜野凛世、有栖川夏葉）	20					
sc_無自覚アプリオリ	無自覚アプリオリ	コメティック（斑鳩ルカ、鈴木羽那、郁田はるき）	20					
sidem_dramatic_nonfiction	DRAMATIC NONFICTION	DRAMATIC STARS（天道輝、桜庭薫、柏木翼）	20					
765as_fate_of_the_world	Fate of the World	天海春香、星井美希、如月千早	19					
765as_voyger	VOY@GER	THE IDOLM@STER FIVE STARS!!!!!（天海春香、菊地真、四条貴音、塩見周子、新田美波、久川颯、高坂海美、白石紬、望月杏奈、鷹城恭二、黒野玄武、古論クリス、有栖川夏葉、黛冬優子、浅倉透）	19					
765as_スタトスタ	スタ→トスタ→	双海亜美／真美	19					
765as_フラワーガール	フラワーガール	四条貴音	19					
765as_待ち受けプリンス	待ち受けプリンス	高槻やよい、菊地真、水瀬伊織	19					
765as_魔法をかけて	魔法をかけて！	秋月律子	19					
cg_ましゅまろキッス	ましゅまろ☆キッス	諸星きらり	19					
cg_クレイジークレイジー	クレイジークレイジー	レイジー・レイジー（一ノ瀬志希、宮本フレデリカ）	19					
cg_メルヘンデビュー	メルヘンデビュー！	安部菜々	19					
gakuen_fluorite	Fluorite	有村麻央	19					
gakuen_冠菊	冠菊	花海咲季、藤田ことね、葛城リーリヤ	19					
ml_pretty_dreamer	PRETTY DREAMER	我那覇響、春日未来、豊川風花、望月杏奈、横山奈緒	19					
ml_sentimental_venus	Sentimental Venus	水瀬伊織、エミリー スチュアート、真壁瑞希、百瀬莉緒	19					
sc_バベルシティグレイス	バベルシティ・グレイス	アンティーカ（月岡恋鐘、田中摩美々、白瀬咲耶、三峰結華、幽谷霧子）	19					
sc_ヒカリのdestination	ヒカリのdestination	イルミネーションスターズ（櫻木真乃、風野灯織、八宮めぐる）	19					
sidem_jokerオールマイティ	JOKER↗オールマイティ	High×Joker（伊瀬谷四季、秋山隼人、若里春名、冬美旬、榊夏来）	19					
sidem_reason	Reason!!	315 STARS（DRAMATIC STARS（天道輝、桜庭薫、柏木翼、Beit[鷹城恭二、ピエール、渡辺みのり、S.E.M[硲道夫、舞田類、山下次郎、High×Joker[伊瀬谷四季、秋山隼人、若里春名、冬美旬、榊夏来、Ｗ[蒼井享介、蒼井悠介、Jupiter[天ヶ瀬冬馬、御手洗翔太、伊集院北斗）	19					
sidem_study_equal_magic	Study Equal Magic!	S.E.M（硲道夫、舞田類、山下次郎）	19					
765as_do-dai	Do-Dai	高槻やよい、双海亜美、星井美希	18					
876_hello	“HELLO!!”	日高愛、水谷絵理、秋月涼	18					
cg_lovedestiny	Love∞Destiny	Masque:Rade（佐久間まゆ、北条加蓮、小日向美穂、多田李衣菜、緒方智絵里）	18					
cg_サマカニ	サマカニ！！	サマプリ（川島瑞樹、日野茜、堀裕子、上田鈴帆、難波笑美）	18					
cg_ハイファイデイズ	ハイファイ☆デイズ	L.M.B.G（佐々木千枝、櫻井桃華、市原仁奈、龍崎薫、赤城みりあ）	18					
cg_メッセージ	メッセージ	THE IDOLM@STER CINDERELLA GIRLS for BEST5!、安部菜々、緒方智絵里、島村卯月、本田未央	18					
